Organization,entity_and_date,,,grant_amount
West End Middle School PTSO,Metro Arts & ABC 1988-89,Metro,1988-89,0
Who am I: Exploring the Self through Painting and Writing,Metro Arts & ABC 1988-89,Metro,1988-89,0
Women/Music/Entertainment,Metro Arts & ABC 1988-89,Metro,1988-89,0
Women's Veterans Expressive Arts Workshop and Symposium,Metro Arts & ABC 1988-89,Metro,1988-89,0
Woodbine Community Organization,Metro Arts & ABC 1988-89,Metro,1988-89,0
Word Box Project,Metro Arts & ABC 1988-89,Metro,1988-89,0
Wordsmith,Metro Arts & ABC 1988-89,Metro,1988-89,0
Working it Out,Metro Arts & ABC 1988-89,Metro,1988-89,0
Writing as Resistance,Metro Arts & ABC 1988-89,Metro,1988-89,0
Writers Stage,Metro Arts & ABC 1988-89,Metro,1988-89,0
Young People's Freedom Choir,Metro Arts & ABC 1988-89,Metro,1988-89,0
Youth Empowerment through the Arts & Humanities (YEAH!),Metro Arts & ABC 1988-89,Metro,1988-89,0
Youth Voices Breakout,Metro Arts & ABC 1988-89,Metro,1988-89,0
"YMCA of Middle Tennessee, artEmbrace",Metro Arts & ABC 1988-89,Metro,1988-89,0
Youth Life Foundation,Metro Arts & ABC 1988-89,Metro,1988-89,0
YWCA,Metro Arts & ABC 1988-89,Metro,1988-89,0
Zen Quilting Guild,Metro Arts & ABC 1988-89,Metro,1988-89,0
abrasiveMedia,Metro Arts & ABC 1989-90,Metro,1989-90,0
ACT I Theatre,Metro Arts & ABC 1989-90,Metro,1989-90,0
Acting Studio,Metro Arts & ABC 1989-90,Metro,1989-90,"6,000"
Actor's Bridge Ensemble Theatre of Nashville,Metro Arts & ABC 1989-90,Metro,1989-90,0
Actor's Playhouse,Metro Arts & ABC 1989-90,Metro,1989-90,0
Adventure Science Center,Metro Arts & ABC 1989-90,Metro,1989-90,0
Africa is…,Metro Arts & ABC 1989-90,Metro,1989-90,0
African American Cultural Alliance,Metro Arts & ABC 1989-90,Metro,1989-90,0
Afrofuturism Dance,Metro Arts & ABC 1989-90,Metro,1989-90,0
ALIAS Chamber Ensemble,Metro Arts & ABC 1989-90,Metro,1989-90,0
American Artisan Festival,Metro Arts & ABC 1989-90,Metro,1989-90,0
American Negro Playwright Theatre,Metro Arts & ABC 1989-90,Metro,1989-90,0
